outcome,country_scope,term,coefficient_core,se_core,p_core,coefficient_robustness,se_robustness,p_robustness
haz,ghana,sanitation_rate_loo_robustness_biodigester,-0.039,0.132,0.7701782835942904,-0.034,0.133,0.795987826281779
haz,ghana,water_rate_loo,-0.009,0.112,0.9392176048359264,-0.01,0.112,0.9318544653169044
haz,pooled,sanitation_rate_loo_robustness_biodigester,0.008,0.062,0.893844594898651,0.009,0.062,0.8822635993877294
haz,pooled,water_rate_loo,0.033,0.059,0.5733430737476422,0.033,0.059,0.5756697614686781
waz,ghana,sanitation_rate_loo_robustness_biodigester,-0.02,0.133,0.8826409855908655,-0.018,0.134,0.8926491637366962
waz,ghana,water_rate_loo,0.12,0.098,0.220356534759807,0.12,0.098,0.2225952515245345
waz,pooled,sanitation_rate_loo_robustness_biodigester,0.059,0.054,0.2754779889314558,0.059,0.054,0.2742335558362263
waz,pooled,water_rate_loo,0.066,0.045,0.145812504801481,0.066,0.045,0.1463904960201753
whz,ghana,sanitation_rate_loo_robustness_biodigester,-0.037,0.127,0.7721882932650722,-0.038,0.128,0.765168628400203
whz,ghana,water_rate_loo,0.181,0.093,0.0507153065177981,0.182,0.093,0.0504284363988384
whz,pooled,sanitation_rate_loo_robustness_biodigester,0.076,0.055,0.1645591424477376,0.076,0.055,0.1666426038716139
whz,pooled,water_rate_loo,0.057,0.05,0.2608038576703325,0.057,0.05,0.2606452798524626

The tiny water_rate_loo coefficient shift between core and robustness runs is expected joint-regression behavior (sanitation and water rates correlate ~0.52), not a change in water_rate_loo itself.
