outcome,threshold,term,coefficient,standard_error,p_value,retained_n,pct_retained
haz,Unrestricted (approved sample),water_rate_loo,0.033,0.059,0.5733430737476422,36985,100.0
haz,Unrestricted (approved sample),sanitation_rate_loo_core,0.008,0.062,0.893844594898651,36985,100.0
haz,>=5 other households (both exposures),water_rate_loo,0.033,0.059,0.5720936199993749,36957,99.9243
haz,>=5 other households (both exposures),sanitation_rate_loo_core,0.008,0.062,0.8926124134179754,36957,99.9243
haz,>=10 other households (both exposures),water_rate_loo,0.034,0.059,0.5663649273080426,36794,99.4836
haz,>=10 other households (both exposures),sanitation_rate_loo_core,0.008,0.062,0.8956949311196374,36794,99.4836
waz,Unrestricted (approved sample),water_rate_loo,0.066,0.045,0.145812504801481,37260,100.0
waz,Unrestricted (approved sample),sanitation_rate_loo_core,0.059,0.054,0.2754779889314558,37260,100.0
waz,>=5 other households (both exposures),water_rate_loo,0.066,0.045,0.1453497276894232,37232,99.9249
waz,>=5 other households (both exposures),sanitation_rate_loo_core,0.059,0.054,0.2748663583643227,37232,99.9249
waz,>=10 other households (both exposures),water_rate_loo,0.068,0.045,0.1357568741201074,37068,99.4847
waz,>=10 other households (both exposures),sanitation_rate_loo_core,0.059,0.054,0.2711198630991894,37068,99.4847
whz,Unrestricted (approved sample),water_rate_loo,0.057,0.05,0.2608038576703325,37088,100.0
whz,Unrestricted (approved sample),sanitation_rate_loo_core,0.076,0.055,0.1645591424477376,37088,100.0
whz,>=5 other households (both exposures),water_rate_loo,0.057,0.05,0.2606368650600884,37060,99.9245
whz,>=5 other households (both exposures),sanitation_rate_loo_core,0.076,0.055,0.1643977910496674,37060,99.9245
whz,>=10 other households (both exposures),water_rate_loo,0.059,0.05,0.2438472484841709,36898,99.4877
whz,>=10 other households (both exposures),sanitation_rate_loo_core,0.077,0.055,0.1612786266127864,36898,99.4877
"Sensitivity analysis only - thresholds are illustrative, not a new preferred sample.",,,,,,,
