Variable,Category,Ethiopia,Ghana,Kenya,Nigeria
Child sex,Female,47.5% (n=6522),48.9% (n=4549),49.0% (n=9580),49.3% (n=13729)
Child sex,Male,52.5% (n=7043),51.1% (n=4804),51.0% (n=9950),50.7% (n=14054)
Maternal education,Higher,8.2% (n=1129),9.4% (n=703),17.9% (n=2628),9.9% (n=3019)
Maternal education,No education,42.6% (n=6132),23.2% (n=2917),10.3% (n=4464),47.0% (n=12245)
Maternal education,Primary,36.5% (n=4618),15.2% (n=1496),37.9% (n=6896),11.9% (n=3214)
Maternal education,Secondary,12.8% (n=1686),52.2% (n=4237),33.9% (n=5542),31.2% (n=9305)
Literacy,Able to read only parts of sentence,16.7% (n=2086),12.9% (n=1119),9.4% (n=2052),15.0% (n=4309)
Literacy,Able to read whole sentence,30.1% (n=3219),37.8% (n=2902),76.1% (n=12189),29.3% (n=8316)
Literacy,Blind/visually impaired,0.5% (n=26),0.0% (n=4),0.1% (n=7),0.0% (n=12)
Literacy,Cannot read at all,52.1% (n=7985),48.8% (n=5283),14.4% (n=5277),55.6% (n=15135)
Literacy,No card with required language,0.7% (n=249),0.5% (n=45),0.0% (n=5),0.0% (n=11)
Wealth quintile,Middle,18.3% (n=1859),19.5% (n=1681),17.6% (n=3379),20.2% (n=5381)
Wealth quintile,Poorer,19.2% (n=2492),20.4% (n=2252),18.0% (n=3330),22.7% (n=5623)
Wealth quintile,Poorest,23.7% (n=5066),23.7% (n=3056),22.4% (n=6432),24.4% (n=7249)
Wealth quintile,Richer,19.8% (n=1772),19.0% (n=1338),20.3% (n=3664),17.6% (n=5129)
Wealth quintile,Richest,19.0% (n=2376),17.4% (n=1026),21.8% (n=2725),15.1% (n=4401)
Residence,Rural,71.8% (n=9749),51.4% (n=5496),62.6% (n=12844),61.6% (n=17076)
Residence,Urban,28.2% (n=3816),48.6% (n=3857),37.4% (n=6686),38.4% (n=10707)

