# Panel: HAZ
Term,Model 1,Model 2,Model 3,Model 4
Water coverage (LOO rate),0.447 (0.070),0.395 (0.067),0.127 (0.060),0.033 (0.059)
"Sanitation coverage (LOO rate, core)",0.472 (0.059),0.452 (0.057),0.008 (0.064),0.008 (0.062)
Child controls,No,Yes,Yes,Yes
Maternal/household controls,No,No,Yes,Yes
Administrative-region FE,No,No,No,Yes
N,36985,36985,36985,36985
PSU count,4434,4434,4434,4434

# Panel: WAZ
Term,Model 1,Model 2,Model 3,Model 4
Water coverage (LOO rate),0.296 (0.049),0.252 (0.049),0.050 (0.047),0.066 (0.045)
"Sanitation coverage (LOO rate, core)",0.368 (0.047),0.351 (0.046),0.010 (0.050),0.059 (0.054)
Child controls,No,Yes,Yes,Yes
Maternal/household controls,No,No,Yes,Yes
Administrative-region FE,No,No,No,Yes
N,37260,37260,37260,37260
PSU count,4434,4434,4434,4434

# Panel: WHZ
Term,Model 1,Model 2,Model 3,Model 4
Water coverage (LOO rate),0.033 (0.054),0.015 (0.054),-0.043 (0.054),0.057 (0.050)
"Sanitation coverage (LOO rate, core)",0.121 (0.044),0.115 (0.044),0.013 (0.050),0.076 (0.055)
Child controls,No,Yes,Yes,Yes
Maternal/household controls,No,No,Yes,Yes
Administrative-region FE,No,No,No,Yes
N,37088,37088,37088,37088
PSU count,4434,4434,4434,4434

Notes: Estimates are associations, not causal effects. Primary WASH exposures are continuous cluster-level household leave-one-out coverage rates on [0,1]. Coefficients are the estimated association per 1.0 (100-percentage-point) increase in cluster coverage; a 10-percentage-point association equals coefficient x 0.10. Pooled models use a model-specific equal-total-country temporary weight (never persisted); country-specific models use the DHS-supplied weight (weight_original). Pooled standard errors are clustered by country_psu; country-specific standard errors are clustered by psu. Model 4 includes country-qualified administrative-region fixed effects (country_admin_region); no survey-year fixed effect or spatial grid fixed effect is included in any model.
