development_family,model_label,outcome,sample_variant,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,se_note
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,const,-2.1820044893567694,0.11280461643469157,-2.40309747485862,-1.9609115038549187,2.3249496921030007e-83,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,_water_hh_binary,-0.03526467583768686,0.03831605375695124,-0.11036276123101192,0.0398334095556382,0.3573831290379641,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,_sani_hh_binary,0.021926731751949535,0.03423273537971722,-0.04516819668458631,0.08902166018848538,0.5218349689510698,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,b19_raw,-0.013491341741896506,0.0007621874685596676,-0.01498520172974121,-0.011997481754051803,4.1326008982344246e-70,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,birth_order_raw,-0.05773894185282569,0.009426519086825567,-0.0762145797625832,-0.03926330394306818,9.059227079419732e-10,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,maternal_age,0.026624637033242936,0.0029888537514238464,0.020766591325394768,0.032482682741091104,5.197271562365974e-19,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,household_size_raw,-0.0042374007603346725,0.005149532783114752,-0.014330299552447896,0.005855498031778551,0.41058140322469516,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,child_sex_Female,0.14794561888593827,0.022420938028092818,0.10400138785127185,0.1918898499206047,4.1520616658856824e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,maternal_education_Higher,0.22763901354839525,0.06478135591617262,0.10066988908302615,0.35460813801376434,0.00044148133668987197,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,maternal_education_Primary,-0.054975274448546115,0.047392585459353445,-0.14786303508311552,0.037912486186023296,0.24604987724895677,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,maternal_education_Secondary,0.01249282112931261,0.05171886014011001,-0.08887428206676717,0.11385992432539241,0.809126914230363,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,literacy_Able to read only parts of sentence,0.1603761005513214,0.048491973801605186,0.06533357836091538,0.25541862274172744,0.0009420969092256665,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,literacy_Able to read whole sentence,0.14016727173010204,0.04482833280994705,0.052305353935630586,0.22802918952457352,0.001767463739918391,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,literacy_Blind/visually impaired,0.9909761798362914,0.5168332272702082,-0.021998331626921108,2.003950691299504,0.05518709743236196,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,literacy_No card with required language,0.39266909322973326,0.2553661864857529,-0.10783943515168143,0.893177621611148,0.1241291602680419,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,wealth_quintile_Middle,0.17540786959835264,0.05041123955608391,0.07660365565240723,0.27421208354429805,0.0005022774233191101,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,wealth_quintile_Poorer,0.05871958168095,0.040128120737719174,-0.01993008973225445,0.13736925309415443,0.1433846083979397,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,wealth_quintile_Richer,0.2956389397143586,0.05961703576065578,0.1787916967584368,0.4124861826702804,7.086883943201811e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,wealth_quintile_Richest,0.5762414664518583,0.07210715986424827,0.43491403009045954,0.717568902813257,1.333502453468486e-15,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,residence_Urban,-0.018476855793058827,0.034463192165359466,-0.08602347122944634,0.049069759643328686,0.5918666107196993,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::02,0.001197368181144182,0.13195251645899342,-0.2574248117479116,0.25981954811019997,0.9927599071233563,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::03,-0.1196005019546823,0.10252505456197115,-0.32054591640914976,0.08134491249978512,0.24339254123652898,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::04,0.21181213970609902,0.11101686197040174,-0.005776911432542775,0.4294011908447408,0.05640056901017785,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::05,0.7888362519960387,0.14327324418821183,0.5080258534389308,1.0696466505531466,3.674602583045928e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::06,-0.22115826469559768,0.15606007887270465,-0.527030398710579,0.08471386931938363,0.15644333990795328,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::07,0.28481973567984453,0.11428548617589447,0.06082429881944115,0.5088151725402479,0.012696251325177658,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::08,0.21217915949739577,0.11808204980242672,-0.0192574053360256,0.44361572433081714,0.0723548258661671,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::09,0.12344304225700198,0.13474532685808477,-0.1406529454699218,0.38753902998392575,0.35960336185944186,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::10,0.0795734682719556,0.11675576151433079,-0.14926361928368045,0.3084105558275917,0.495531238480453,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::12,1.1285643915381791,0.14947348462025414,0.8356017450387794,1.4215270380375788,4.343741220966188e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::13,0.1926557245910282,0.1276683930203381,-0.05756972769293933,0.44288117687499573,0.13129053701384064,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::14,0.20713404191387325,0.11625972415452543,-0.020730830281557977,0.43499891410930447,0.07480645952731661,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::15,0.3339099600336043,0.14944736181689947,0.040998513287954896,0.6268214067792537,0.0254634637466927,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
