development_family,model_label,outcome,sample_variant,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,se_note
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,_water_hh_binary,-0.08532609265767357,0.04567376574528256,-0.1748450285567466,0.0041928432413994715,0.06173919137704333,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,_sani_hh_binary,0.02559601138686413,0.042630454781393844,-0.057958144629231156,0.10915016740295941,0.5482289608293278,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,b19_raw,-0.013896725569697493,0.0007800944828891291,-0.015425682660698584,-0.012367768478696401,5.487845786340263e-71,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,birth_order_raw,-0.05932107335792132,0.01021933103756974,-0.07935059413765036,-0.039291552578192286,6.444662249604173e-09,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,maternal_age,0.025756107488220124,0.0033305320992811026,0.019228384524274583,0.032283830452165665,1.0476833498057102e-14,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,household_size_raw,-0.005624117440261202,0.00573658039937313,-0.016867608417450934,0.005619373536928532,0.3268909446906604,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,child_sex_Female,0.13633586756707886,0.023502665534077132,0.09027148957959684,0.18240024555456086,6.597239973222924e-09,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,maternal_education_Higher,0.13378712506243848,0.07513987287886181,-0.01348431958304866,0.28105856970792564,0.07499290416261563,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,maternal_education_Primary,-0.07487272563525035,0.05176188712430604,-0.17632416017071773,0.026578708900217032,0.14804158261412684,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
model_B_household_cluster_fe,natural_sample_PRIMARY_SAME_CLUSTER_CRV1,haz,natural_sample,maternal_education_Secondary,-0.02764303375286921,0.05833067135236025,-0.14196904879753758,0.08668298129179917,0.6355696469995119,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu_demeaned,"PRIMARY: statsmodels native cluster-robust SE on demeaned data, use_correction=True (confirmed default; see res.cov_kwds in run log). k_reported=18. No additional absorbed-PSU-FE degrees-of-freedom penalty is applied, because the fixed-effect grouping and the clustering grouping are the same PSU variable (adjudicated convention; cross-validated against linearmodels.PanelOLS(auto_df=True) - see docs/provenance/cluster_fe_inference_adjudication.md). See the FULL_DUMMY_DF_SENSITIVITY row-set below for a labelled sensitivity check only."
