spec,outcome,term,coefficient,se,ci_lower,ci_upper,p_value,N,reference_age_band
H1_household_region_fe,haz,_water_hh_binary,-0.13273859855733658,0.06569616863446254,-0.2615007230031531,-0.003976474111520051,0.0433323548372277,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary,0.08399494483068548,0.056651803723881504,-0.027040550127354387,0.19503043978872536,0.13816673076436545,36040,12-23
H1_household_region_fe,haz,_water_hh_binary_x_0_5,-0.09844519911828208,0.11543223122492151,-0.32468821497422806,0.12779781673766394,0.39374815840133504,36040,12-23
H1_household_region_fe,haz,_water_hh_binary_x_6_11,0.0817007321172678,0.10603215510745888,-0.12611847309651633,0.28951993733105197,0.4409868210445218,36040,12-23
H1_household_region_fe,haz,_water_hh_binary_x_24_35,0.05779649451210726,0.08386427854080024,-0.10657447101729652,0.22216746004151106,0.4907181715261275,36040,12-23
H1_household_region_fe,haz,_water_hh_binary_x_36_47,0.2275849420463857,0.07689171571966884,0.07687994852634247,0.378289935566429,0.0030782787805962867,36040,12-23
H1_household_region_fe,haz,_water_hh_binary_x_48_59,0.21804635689072777,0.06799017707589897,0.084788058519465,0.3513046552619905,0.0013411424820720854,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary_x_0_5,-0.3958550631750492,0.09315845525522098,-0.5784422803306685,-0.21326784601942994,2.14472050473178e-05,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary_x_6_11,-0.17329437627620126,0.08510078474638047,-0.34008884943520257,-0.0064999031171999455,0.04171593781416727,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary_x_24_35,0.03829872120352536,0.07448706121817249,-0.10769323609832292,0.18429067850537362,0.6071358720265773,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary_x_36_47,-0.013300163553550924,0.07146851660168614,-0.1533758821213587,0.12677555501425683,0.8523677396547487,36040,12-23
H1_household_region_fe,haz,_sani_hh_binary_x_48_59,-0.00471434028859846,0.06323919641893525,-0.1286608876809659,0.11923220710376897,0.9405745417445767,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_0-5,-0.23118379767561864,0.09788893813128176,-0.4230425908978005,-0.03932500445343681,,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_6-11,-0.051037866440068774,0.09001095711889247,-0.2274561006070772,0.12538036772693964,,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_12-23,-0.13273859855733658,0.06569616863446254,-0.2615007230031531,-0.003976474111520051,,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_24-35,-0.07494210404522932,0.06456713309411458,-0.2014913594946981,0.05160715140423948,,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_36-47,0.09484634348904913,0.06387490713838606,-0.030346174018027944,0.2200388609961262,,36040,12-23
H1_implied_total_by_band,haz,_water_hh_binary__band_48-59,0.08530775833339119,0.05686768651847549,-0.026150859126934753,0.19676637579371714,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_0-5,-0.3118601183443637,0.08158026016034903,-0.4717544901080556,-0.15196574658067183,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_6-11,-0.08929943144551578,0.07305505188590322,-0.23248470203059104,0.053885839139559494,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_12-23,0.08399494483068548,0.056651803723881504,-0.027040550127354387,0.19503043978872536,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_24-35,0.12229366603421084,0.06174176390846866,0.0012820324316372977,0.24330529963678438,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_36-47,0.07069478127713455,0.05654859504860228,-0.04013842839446595,0.18152799094873506,,36040,12-23
H1_implied_total_by_band,haz,_sani_hh_binary__band_48-59,0.07928060454208702,0.05136092817507847,-0.021384964893615313,0.17994617397778934,,36040,12-23
H1_household_region_fe,waz,_water_hh_binary,-0.09151556283026634,0.05113617199442475,-0.19174061824658462,0.008709492586051928,0.07351109912676447,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary,0.13179769515815165,0.04897045424946317,0.035817368522637394,0.2277780217936659,0.007115886098010117,36308,12-23
H1_household_region_fe,waz,_water_hh_binary_x_0_5,0.06701689032424521,0.08847240061388209,-0.10638582850476305,0.24041960915325347,0.4487568178332234,36308,12-23
H1_household_region_fe,waz,_water_hh_binary_x_6_11,0.20573725878794727,0.08197528567493202,0.04506865124269829,0.3664058663331963,0.012081755668727467,36308,12-23
H1_household_region_fe,waz,_water_hh_binary_x_24_35,0.06152323851463036,0.06580161399056508,-0.06744555503148415,0.1904920320607449,0.3497982504855496,36308,12-23
H1_household_region_fe,waz,_water_hh_binary_x_36_47,0.1780354624248109,0.06098735798044907,0.05850243727087927,0.2975684875787425,0.0035090945104137993,36308,12-23
H1_household_region_fe,waz,_water_hh_binary_x_48_59,0.1778753310076074,0.05902829207856451,0.062182004464710006,0.2935686575505048,0.0025834572784355714,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary_x_0_5,-0.2871073127053296,0.07913426973955102,-0.44220763133772745,-0.13200699407293173,0.0002855109250874751,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary_x_6_11,-0.12791445928350595,0.08210122929450184,-0.2888299117871944,0.03300099322018249,0.11923109984836076,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary_x_24_35,-0.012299412227082786,0.06394029150060813,-0.13762008072926726,0.1130212562751017,0.8474619651101161,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary_x_36_47,-0.07402563891052531,0.05789603781857852,-0.18749978788250815,0.03944851006145751,0.20103938034404645,36308,12-23
H1_household_region_fe,waz,_sani_hh_binary_x_48_59,-0.10315323583963776,0.057879726747709165,-0.21659541570016735,0.010288944020891838,0.07471665990865453,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_0-5,-0.024498672506021127,0.07879288992398632,-0.17892989899486322,0.129932553982821,,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_6-11,0.11422169595768093,0.0724648001936383,-0.02780670256874125,0.25625009448410313,,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_12-23,-0.09151556283026634,0.05113617199442475,-0.19174061824658462,0.008709492586051928,,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_24-35,-0.029992324315635976,0.05356480352503716,-0.13497741006367295,0.074992761432401,,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_36-47,0.08651989959454455,0.04920778582119096,-0.009925588373950453,0.18296538756303954,,36308,12-23
H1_implied_total_by_band,waz,_water_hh_binary__band_48-59,0.08635976817734108,0.041406563664326636,0.005204394671696019,0.16751514168298615,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_0-5,-0.15530961754717793,0.07058585936415708,-0.29365535971873513,-0.01696387537562072,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_6-11,0.003883235874645702,0.0681529661869967,-0.12969412329144395,0.13746059504073535,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_12-23,0.13179769515815165,0.04897045424946317,0.035817368522637394,0.2277780217936659,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_24-35,0.11949828293106887,0.049602047960533635,0.02228005536899451,0.21671651049314322,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_36-47,0.05777205624762634,0.045193546930105494,-0.030805668069001146,0.14634978056425382,,36308,12-23
H1_implied_total_by_band,waz,_sani_hh_binary__band_48-59,0.028644459318513893,0.04208947295717136,-0.05384939180581454,0.11113831044284232,,36308,12-23
H1_household_region_fe,whz,_water_hh_binary,0.010941761835488565,0.05866606579421084,-0.10404161423582188,0.12592513790679902,0.8520454536935564,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary,0.13716709079181033,0.0507524619042283,0.03769409333278173,0.23664008825083893,0.006878526654623819,36145,12-23
H1_household_region_fe,whz,_water_hh_binary_x_0_5,0.11371076350425673,0.0987811975118744,-0.0798968259687547,0.30731835297726817,0.24967557791454864,36145,12-23
H1_household_region_fe,whz,_water_hh_binary_x_6_11,0.1806110452444909,0.08935076079818123,0.005486772088802355,0.35573531840017947,0.04324136450472344,36145,12-23
H1_household_region_fe,whz,_water_hh_binary_x_24_35,0.007106523145524921,0.08168559834659617,-0.15299430766940814,0.167207353960458,0.9306727178649533,36145,12-23
H1_household_region_fe,whz,_water_hh_binary_x_36_47,0.012258800248584709,0.070987292684282,-0.12687373677261166,0.1513913372697811,0.8628950527734551,36145,12-23
H1_household_region_fe,whz,_water_hh_binary_x_48_59,0.008241014856188585,0.06463980141209723,-0.1184506678793433,0.13493269759172047,0.8985515274597707,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary_x_0_5,-0.1073106327956279,0.08690175086163614,-0.27763493467790734,0.06301366908665153,0.216886310244208,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary_x_6_11,-0.04619826113523333,0.08601044192398846,-0.21477562960062468,0.12237910733015801,0.5911820559119687,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary_x_24_35,-0.06484642887201275,0.06978472739813872,-0.2016219812433102,0.07192912349928471,0.35276718114214356,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary_x_36_47,-0.10857072925745608,0.06323566188596293,-0.2325103490924956,0.01536889057758345,0.0859933373810197,36145,12-23
H1_household_region_fe,whz,_sani_hh_binary_x_48_59,-0.18945320285805645,0.06013210533577099,-0.30730996363073637,-0.0715964420853765,0.001629262684861122,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_0-5,0.12465252533974529,0.08517811770831818,-0.04229351763947174,0.2915985683189623,,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_6-11,0.19155280707997946,0.08178000488616884,0.03126694284757889,0.35183867131238,,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_12-23,0.010941761835488565,0.05866606579421084,-0.10404161423582188,0.12592513790679902,,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_24-35,0.018048284981013487,0.05774574030418548,-0.09513128627579308,0.13122785623782005,,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_36-47,0.023200562084073274,0.05043959012420146,-0.07565921795432379,0.12206034212247033,,36145,12-23
H1_implied_total_by_band,whz,_water_hh_binary__band_48-59,0.01918277669167715,0.04675392636115815,-0.07245323511203064,0.11081878849538496,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_0-5,0.02985645799618243,0.07753546767492703,-0.12211026617114411,0.18182318216350896,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_6-11,0.090968829656577,0.07090861371054305,-0.04800949940975045,0.22994715872290444,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_12-23,0.13716709079181033,0.0507524619042283,0.03769409333278173,0.23664008825083893,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_24-35,0.07232066191979758,0.05375634037560625,-0.03303982915706703,0.1776811529966622,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_36-47,0.028596361534354256,0.04861561155573658,-0.06668848620127871,0.12388120926998722,,36145,12-23
H1_implied_total_by_band,whz,_sani_hh_binary__band_48-59,-0.052286112066246115,0.04133530420632008,-0.13330181960064047,0.028729595468148253,,36145,12-23
