country,breakdown,level,n_total,haz_available_n,haz_available_pct,waz_available_n,waz_available_pct,whz_available_n,whz_available_pct
ethiopia,OVERALL,ALL,13565,5843,43.07,5955,43.9,5884,43.38
ethiopia,age_band,0-5,1416,648,45.76,658,46.47,655,46.26
ethiopia,age_band,6-11,1319,603,45.72,617,46.78,610,46.25
ethiopia,age_band,12-23,2473,1095,44.28,1114,45.05,1101,44.52
ethiopia,age_band,24-35,2601,1135,43.64,1172,45.06,1143,43.94
ethiopia,age_band,36-47,2957,1262,42.68,1288,43.56,1273,43.05
ethiopia,age_band,48-59,2799,1100,39.3,1106,39.51,1102,39.37
ethiopia,household_water_status,Improved,8583,3683,42.91,3743,43.61,3700,43.11
ethiopia,household_water_status,StructuralNotApplicable,227,72,31.72,74,32.6,72,31.72
ethiopia,household_water_status,SurfaceWater,1789,803,44.89,830,46.39,815,45.56
ethiopia,household_water_status,Unimproved,2887,1256,43.51,1278,44.27,1267,43.89
ethiopia,household_water_status,Unknown,79,29,36.71,30,37.97,30,37.97
ethiopia,household_sanitation_status,Improved,5335,2296,43.04,2330,43.67,2302,43.15
ethiopia,household_sanitation_status,NonImproved,7950,3456,43.47,3532,44.43,3491,43.91
ethiopia,household_sanitation_status,StructuralNotApplicable,227,72,31.72,74,32.6,72,31.72
ethiopia,household_sanitation_status,Unknown,53,19,35.85,19,35.85,19,35.85
ethiopia,community_water_loo_quartile,"(-0.001, 0.308]",3413,1514,44.36,1556,45.59,1535,44.98
ethiopia,community_water_loo_quartile,"(0.308, 0.778]",3431,1506,43.89,1527,44.51,1512,44.07
ethiopia,community_water_loo_quartile,"(0.778, 1.0]",6721,2823,42.0,2872,42.73,2837,42.21
ethiopia,community_sanitation_loo_quartile,"(-0.001, 0.0741]",3519,1558,44.27,1595,45.33,1582,44.96
ethiopia,community_sanitation_loo_quartile,"(0.0741, 0.37]",3283,1402,42.7,1423,43.34,1409,42.92
ethiopia,community_sanitation_loo_quartile,"(0.37, 0.667]",3406,1425,41.84,1463,42.95,1435,42.13
ethiopia,community_sanitation_loo_quartile,"(0.667, 1.0]",3357,1458,43.43,1474,43.91,1458,43.43
ethiopia,wealth_quintile,Middle,1859,844,45.4,858,46.15,850,45.72
ethiopia,wealth_quintile,Poorer,2492,1092,43.82,1112,44.62,1097,44.02
ethiopia,wealth_quintile,Poorest,5066,2149,42.42,2200,43.43,2183,43.09
ethiopia,wealth_quintile,Richer,1772,731,41.25,742,41.87,732,41.31
ethiopia,wealth_quintile,Richest,2376,1027,43.22,1043,43.9,1022,43.01
ethiopia,residence,Rural,9749,4237,43.46,4320,44.31,4280,43.9
ethiopia,residence,Urban,3816,1606,42.09,1635,42.85,1604,42.03
ghana,OVERALL,ALL,9353,4405,47.1,4411,47.16,4408,47.13
ghana,age_band,0-5,1004,501,49.9,503,50.1,498,49.6
ghana,age_band,6-11,977,484,49.54,484,49.54,485,49.64
ghana,age_band,12-23,2030,1015,50.0,1016,50.05,1016,50.05
ghana,age_band,24-35,1757,833,47.41,834,47.47,835,47.52
ghana,age_band,36-47,1818,836,45.98,837,46.04,837,46.04
ghana,age_band,48-59,1767,736,41.65,737,41.71,737,41.71
ghana,household_water_status,Improved,7379,3471,47.04,3476,47.11,3474,47.08
ghana,household_water_status,StructuralNotApplicable,136,56,41.18,56,41.18,55,40.44
ghana,household_water_status,SurfaceWater,1385,657,47.44,657,47.44,659,47.58
ghana,household_water_status,Unimproved,453,221,48.79,222,49.01,220,48.57
ghana,household_sanitation_status,Improved,4203,1907,45.37,1909,45.42,1909,45.42
ghana,household_sanitation_status,NonImproved,4862,2380,48.95,2384,49.03,2383,49.01
ghana,household_sanitation_status,StructuralNotApplicable,136,56,41.18,56,41.18,55,40.44
ghana,household_sanitation_status,UnclassifiedBioDigester,137,56,40.88,56,40.88,55,40.15
ghana,household_sanitation_status,Unknown,15,6,40.0,6,40.0,6,40.0
ghana,community_water_loo_quartile,"(-0.001, 0.724]",2409,1124,46.66,1124,46.66,1125,46.7
ghana,community_water_loo_quartile,"(0.724, 1.0]",6944,3281,47.25,3287,47.34,3283,47.28
ghana,community_sanitation_loo_quartile,"(-0.001, 0.143]",2403,1126,46.86,1127,46.9,1130,47.02
ghana,community_sanitation_loo_quartile,"(0.143, 0.448]",2315,1130,48.81,1132,48.9,1130,48.81
ghana,community_sanitation_loo_quartile,"(0.448, 0.828]",2322,1076,46.34,1078,46.43,1076,46.34
ghana,community_sanitation_loo_quartile,"(0.828, 1.0]",2313,1073,46.39,1074,46.43,1072,46.35
ghana,wealth_quintile,Middle,1681,784,46.64,788,46.88,785,46.7
ghana,wealth_quintile,Poorer,2252,1072,47.6,1073,47.65,1073,47.65
ghana,wealth_quintile,Poorest,3056,1405,45.98,1406,46.01,1406,46.01
ghana,wealth_quintile,Richer,1338,641,47.91,641,47.91,641,47.91
ghana,wealth_quintile,Richest,1026,503,49.03,503,49.03,503,49.03
ghana,residence,Rural,5496,2592,47.16,2594,47.2,2596,47.23
ghana,residence,Urban,3857,1813,47.01,1817,47.11,1812,46.98
kenya,OVERALL,ALL,19530,17327,88.72,17381,89.0,17332,88.75
kenya,age_band,0-5,2031,1873,92.22,1894,93.25,1868,91.97
kenya,age_band,6-11,2109,2005,95.07,2009,95.26,2007,95.16
kenya,age_band,12-23,3809,3508,92.1,3513,92.23,3507,92.07
kenya,age_band,24-35,3780,3335,88.23,3348,88.57,3337,88.28
kenya,age_band,36-47,3973,3428,86.28,3435,86.46,3439,86.56
kenya,age_band,48-59,3828,3178,83.02,3182,83.12,3174,82.92
kenya,household_water_status,Improved,13729,12134,88.38,12174,88.67,12139,88.42
kenya,household_water_status,StructuralNotApplicable,538,406,75.46,407,75.65,405,75.28
kenya,household_water_status,SurfaceWater,3745,3435,91.72,3445,91.99,3435,91.72
kenya,household_water_status,Unimproved,1308,1173,89.68,1174,89.76,1174,89.76
kenya,household_water_status,Unknown,210,179,85.24,181,86.19,179,85.24
kenya,household_sanitation_status,Improved,11285,9934,88.03,9959,88.25,9928,87.98
kenya,household_sanitation_status,NonImproved,7672,6960,90.72,6987,91.07,6972,90.88
kenya,household_sanitation_status,StructuralNotApplicable,538,406,75.46,407,75.65,405,75.28
kenya,household_sanitation_status,Unknown,35,27,77.14,28,80.0,27,77.14
kenya,community_water_loo_quartile,"(-0.001, 0.558]",4883,4458,91.3,4472,91.58,4455,91.23
