model,country,outcome,term,coefficient,se,ci_lower,ci_upper,p_value,N,psu_count,fe_count
household_region_fe,ethiopia,haz,_water_hh_binary,-0.09465186088421192,0.10048899492855484,-0.29160667178680755,0.10230295001838373,0.3462373356525815,5723,786,14
household_region_fe,ethiopia,haz,_sani_hh_binary,0.06677682612857633,0.08458310095125823,-0.0990030054366054,0.23255665769375805,0.42983041228482477,5723,786,14
household_region_fe,ghana,haz,_water_hh_binary,-0.0022430572601783378,0.07234794255130722,-0.14404241901631337,0.13955630449595668,0.9752665519511114,4287,613,16
household_region_fe,ghana,haz,_sani_hh_binary,0.06354940846192304,0.06819750348768636,-0.07011524220948694,0.197214059133333,0.3514173486572768,4287,613,16
household_region_fe,kenya,haz,_water_hh_binary,-0.017660770686293476,0.029594021106304134,-0.07566398621236778,0.04034244483978083,0.5506621523169387,16715,1685,47
household_region_fe,kenya,haz,_sani_hh_binary,0.04380469365634117,0.0325086316683906,-0.019911053600382658,0.107520440913065,0.17782606025454584,16715,1685,47
household_region_fe,nigeria,haz,_water_hh_binary,-0.00177404873842086,0.060806937056891566,-0.12095345538012232,0.11740535790328059,0.9767249365701719,9315,1342,37
household_region_fe,nigeria,haz,_sani_hh_binary,-0.10647373795755456,0.05495518364400449,-0.21418391866358802,0.0012364427484788942,0.05268854313299155,9315,1342,37
household_region_fe,ethiopia,waz,_water_hh_binary,0.03509812222046443,0.07866624577298766,-0.11908488629356764,0.1892811307344965,0.6554780935500426,5832,786,14
household_region_fe,ethiopia,waz,_sani_hh_binary,0.14439725014309251,0.06802052151243315,0.011079477769091572,0.27771502251709346,0.033766563861033494,5832,786,14
household_region_fe,ghana,waz,_water_hh_binary,0.07258693250046352,0.06354788388564991,-0.051964631209143575,0.19713849621007062,0.2533542891480851,4293,613,16
household_region_fe,ghana,waz,_sani_hh_binary,0.023515636548611173,0.0592058562440084,-0.09252570936350116,0.1395569824607235,0.6912315590698557,4293,613,16
household_region_fe,kenya,waz,_water_hh_binary,-0.01845113591664333,0.0257971153495875,-0.06901255290686023,0.032110281073573575,0.4744605854769267,16765,1685,47
household_region_fe,kenya,waz,_sani_hh_binary,0.04701127463194973,0.03032504792125342,-0.01242472712315821,0.10644727638705767,0.12108255884687269,16765,1685,47
household_region_fe,nigeria,waz,_water_hh_binary,0.022305274310118584,0.048087767559089285,-0.07194501820263,0.11655556682286716,0.6427587440800682,9418,1342,37
household_region_fe,nigeria,waz,_sani_hh_binary,-0.06034174617629878,0.04565163326541576,-0.14981730321194434,0.02913381085934677,0.1862390096645512,9418,1342,37
household_region_fe,ethiopia,whz,_water_hh_binary,0.11539265736838389,0.08552726746354114,-0.05223770655628113,0.2830230212930489,0.17727548271089266,5763,786,14
household_region_fe,ethiopia,whz,_sani_hh_binary,0.17477705741046665,0.07331647564865888,0.031079405665687343,0.31847470915524595,0.017131582819946683,5763,786,14
household_region_fe,ghana,whz,_water_hh_binary,0.079240667547385,0.06303869669174926,-0.04431290760078781,0.2027942426955578,0.20874774320889367,4292,613,16
household_region_fe,ghana,whz,_sani_hh_binary,-0.03363633739025358,0.06028202561080006,-0.15178693650254285,0.08451426172203569,0.5768560845776451,4292,613,16
household_region_fe,kenya,whz,_water_hh_binary,-0.022239475675568318,0.028823945876818056,-0.0787333714864635,0.03425442013532686,0.44037359312894986,16721,1685,47
household_region_fe,kenya,whz,_sani_hh_binary,0.03786721353414587,0.031564355604454294,-0.023997786645799553,0.0997322137140913,0.23026256755655905,16721,1685,47
household_region_fe,nigeria,whz,_water_hh_binary,0.0525414200935831,0.048671636856041804,-0.04285323521287115,0.14793607540003734,0.2803613410153606,9369,1342,37
household_region_fe,nigeria,whz,_sani_hh_binary,-0.017327727262545847,0.041009931456852486,-0.09770571592643294,0.06305026140134125,0.672641750599944,9369,1342,37
