model,country,outcome,term,coefficient,se,ci_lower,ci_upper,p_value,N,psu_count,fe_count
household_cluster_fe,ethiopia,haz,_water_hh_binary,-0.17391852351365003,0.11790505321497464,-0.40500818141027883,0.05717113438297877,0.14019300293871992,5723,786,0
household_cluster_fe,ethiopia,haz,_sani_hh_binary,0.044220570790468254,0.11130388406829031,-0.17393103332280224,0.26237217490373876,0.691149310224205,5723,786,0
household_cluster_fe,ghana,haz,_water_hh_binary,-0.001993538256150629,0.10853426352367905,-0.21471678585114085,0.2107297093388396,0.9853454207965762,4287,613,0
household_cluster_fe,ghana,haz,_sani_hh_binary,0.059237072904775714,0.09073386173504189,-0.11859802827414333,0.23707217408369474,0.5138425311074326,4287,613,0
household_cluster_fe,kenya,haz,_water_hh_binary,-0.08311948184308433,0.03867747909785831,-0.15892594788768738,-0.007313015798481301,0.0316311633580944,16715,1685,0
household_cluster_fe,kenya,haz,_sani_hh_binary,0.04311509795472867,0.03541429326726626,-0.026295641387052517,0.11252583729650986,0.22343340762827968,16715,1685,0
household_cluster_fe,nigeria,haz,_water_hh_binary,-0.06437041222636801,0.07594960913644072,-0.21322891077368605,0.08448808632095005,0.39669361091317157,9315,1342,0
household_cluster_fe,nigeria,haz,_sani_hh_binary,-0.006596391402084568,0.06510776042174166,-0.1342052569427606,0.12101247413859145,0.9193004255848537,9315,1342,0
household_cluster_fe,ethiopia,waz,_water_hh_binary,-0.03428989927413929,0.09412810021865742,-0.21877758563588462,0.150197787087606,0.7156416755140915,5832,786,0
household_cluster_fe,ethiopia,waz,_sani_hh_binary,0.14153806546716055,0.08376169473149042,-0.022631839490599076,0.30570797042492015,0.09107181323666771,5832,786,0
household_cluster_fe,ghana,waz,_water_hh_binary,-0.0060543413158910195,0.09586975805100978,-0.19395561430243907,0.18184693167065702,0.9496456798916829,4293,613,0
household_cluster_fe,ghana,waz,_sani_hh_binary,0.024221386955788845,0.08001368058161017,-0.13260254525465898,0.18104531916623667,0.7621066307673114,4293,613,0
household_cluster_fe,kenya,waz,_water_hh_binary,-0.04285701783581019,0.03326297648663492,-0.10805125376821728,0.02233721809659691,0.1975963104208398,16765,1685,0
household_cluster_fe,kenya,waz,_sani_hh_binary,0.06610317773571979,0.03260785332270518,0.0021929596100529053,0.13001339586138666,0.042640278176402105,16765,1685,0
household_cluster_fe,nigeria,waz,_water_hh_binary,-0.03805468010601151,0.06717259807870785,-0.16971055308826333,0.0936011928762403,0.5710397356093259,9418,1342,0
household_cluster_fe,nigeria,waz,_sani_hh_binary,-0.04026564760731487,0.059649788090612645,-0.1571770839503619,0.07664578873573215,0.49965403011921006,9418,1342,0
household_cluster_fe,ethiopia,whz,_water_hh_binary,0.0646993852332747,0.10352812033971787,-0.13821200201970094,0.2676107724862503,0.5320071306369025,5763,786,0
household_cluster_fe,ethiopia,whz,_sani_hh_binary,0.185418927134011,0.07567933743458469,0.03709015138837113,0.3337477028796509,0.014283236099994958,5763,786,0
household_cluster_fe,ghana,whz,_water_hh_binary,-0.08688218843105878,0.09302679511866217,-0.26921135646082317,0.09544697959870559,0.35033072156568024,4292,613,0
household_cluster_fe,ghana,whz,_sani_hh_binary,-0.032274220315557704,0.08279486755744282,-0.1945491788329094,0.13000073820179397,0.6966774685116033,4292,613,0
household_cluster_fe,kenya,whz,_water_hh_binary,-0.003891821350230162,0.033675623547317284,-0.06989483065990101,0.062111187959440685,0.907994998469907,16721,1685,0
household_cluster_fe,kenya,whz,_sani_hh_binary,0.06350008338853591,0.033902528301588734,-0.002947651067427892,0.1299478178444997,0.06106574614662012,16721,1685,0
household_cluster_fe,nigeria,whz,_water_hh_binary,0.021865912196142104,0.058093298149517025,-0.09199485992005864,0.13572668431234286,0.7066247309951206,9369,1342,0
household_cluster_fe,nigeria,whz,_sani_hh_binary,-0.06285633355619104,0.05576742582393704,-0.17215847968161657,0.04644581256923451,0.259693624109691,9369,1342,0
