family,outcome,term,coefficient,se,p_value,N
A_household_region_fe,haz,_water_hh_binary,-0.03526467583768686,0.03831605375695124,0.3573831290379641,36040
A_household_region_fe,haz,_sani_hh_binary,0.021926731751949535,0.03423273537971722,0.5218349689510698,36040
A_household_region_fe,waz,_water_hh_binary,0.021178956622137514,0.030447419318378164,0.486684885323182,36308
A_household_region_fe,waz,_sani_hh_binary,0.04507313388989785,0.02812242717662832,0.1089905372762787,36308
A_household_region_fe,whz,_water_hh_binary,0.05038265105420596,0.03330994441910972,0.13039633324817887,36145
A_household_region_fe,whz,_sani_hh_binary,0.04576958792338561,0.029120073696226434,0.11600764836321262,36145
B_household_cluster_fe,haz,_water_hh_binary,-0.08532609265767357,0.04567376574528256,0.06173919137704333,36040
B_household_cluster_fe,haz,_sani_hh_binary,0.02559601138686413,0.042630454781393844,0.5482289608293278,36040
B_household_cluster_fe,waz,_water_hh_binary,-0.028534575067012034,0.03656639061228836,0.43518501605659776,36308
B_household_cluster_fe,waz,_sani_hh_binary,0.052412475104666865,0.03461119843095625,0.12994436810440052,36308
B_household_cluster_fe,whz,_water_hh_binary,0.011602106946916692,0.03770209951064175,0.7582869854065684,36145
B_household_cluster_fe,whz,_sani_hh_binary,0.052575812548320985,0.03402028633133754,0.12224341508871116,36145
C_joint_household_community,haz,_water_hh_binary,-0.08493288772688233,0.04205736445686124,0.04344011591052318,36040
C_joint_household_community,haz,_sani_hh_binary,0.024184968942193876,0.0364888603449772,0.5074559800118925,36040
C_joint_household_community,haz,water_rate_loo,0.120103717122616,0.06537913887659237,0.06620483988635159,36040
C_joint_household_community,haz,sanitation_rate_loo_core,-0.018203423867853667,0.06638716373332487,0.7839301922571363,36040
C_joint_household_community,waz,_water_hh_binary,-0.014739127583794196,0.03540331785128281,0.6771754814001278,36308
C_joint_household_community,waz,_sani_hh_binary,0.03918431513372048,0.02997624389392358,0.19115194154982884,36308
C_joint_household_community,waz,water_rate_loo,0.08143972798857783,0.052494667338194634,0.12080813148473808,36308
C_joint_household_community,waz,sanitation_rate_loo_core,0.021956002413632922,0.05829234381201006,0.7064312881542989,36308
C_joint_household_community,whz,_water_hh_binary,0.03938367489762138,0.039420312043793676,0.3177604909276158,36145
C_joint_household_community,whz,_sani_hh_binary,0.03583691348802128,0.030785141634059234,0.24438440855418764,36145
C_joint_household_community,whz,water_rate_loo,0.019169603703516176,0.06017252762283804,0.7500470399538423,36145
C_joint_household_community,whz,sanitation_rate_loo_core,0.04480902156845916,0.05878219538572388,0.4458875312297381,36145
