robustness_family,model_label,outcome,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata,preferred_model_n,baseline_n,n_excluded_by_household_wash_states
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,const,-2.0826822888824448,0.08877352326622652,-2.2566751972649772,-1.9086893804999123,1.0298605293516664e-121,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,_water_hh_binary,0.01980367949487725,0.03841891410382024,-0.055496008473748346,0.09510336746350286,0.6062267767090406,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,_sanitation_hh_binary,0.021369665978252114,0.03836914748220983,-0.053832481204384844,0.09657181316088907,0.5775621383350615,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,b19_raw,-0.013923973445289665,0.000773989319795949,-0.01544096463650838,-0.01240698225407095,2.3387211462955233e-72,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,birth_order_raw,-0.06511787366167676,0.009857271934621855,-0.08443777163935307,-0.045797975684000465,3.9464410502257093e-11,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,maternal_age,0.03456759129406921,0.003107552563302027,0.028476900189932108,0.040658282398206305,9.616018085940431e-29,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,household_size_raw,-0.01762265657616193,0.00583085964431451,-0.029050931477926402,-0.006194381674397462,0.002508547617314518,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,child_sex_Female,0.15450628460112956,0.02266640309986014,0.11008095086633665,0.19893161833592246,9.32638149843157e-12,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,maternal_education_Higher,0.5161822381940157,0.06684488340721002,0.3851686741651049,0.6471958022229264,1.1443710428139554e-14,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,maternal_education_Primary,0.19784041099638172,0.047394294369794955,0.10494930095889415,0.2907315210338693,2.988369757508768e-05,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
