development_family,model_label,outcome,sample_variant,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,se_note
model_C_joint_household_community,joint_common_sample,haz,common_sample,const,-2.213255489214943,0.11588434214726641,-2.4403846261957023,-1.9861263522341837,2.5820264041174683e-81,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,_water_hh_binary,-0.08493288772688233,0.04205736445686124,-0.16736380734700534,-0.002501968106759317,0.04344011591052318,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,_sani_hh_binary,0.024184968942193876,0.0364888603449772,-0.047331883170873196,0.09570182105526095,0.5074559800118925,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,water_rate_loo,0.120103717122616,0.06537913887659237,-0.008037040415747543,0.24824447466097954,0.06620483988635159,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,sanitation_rate_loo_core,-0.018203423867853667,0.06638716373332487,-0.14831987382093406,0.11191302608522671,0.7839301922571363,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,b19_raw,-0.013474476498229058,0.0007614471542611464,-0.01496688549671142,-0.011982067499746696,4.5113801317440784e-70,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,birth_order_raw,-0.0574215098023582,0.009413789010090974,-0.07587219722019548,-0.03897082238452093,1.062521164823501e-09,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,maternal_age,0.026498461449479295,0.00298382793905621,0.02065026615286475,0.03234665674609384,6.6444788422277115e-19,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,household_size_raw,-0.00427360869448674,0.005142693708839658,-0.014353103147333186,0.005805885758359706,0.40597030946183177,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,child_sex_Female,0.1479951585444263,0.022435075223514813,0.10402321911589035,0.19196709797296224,4.2070119919208024e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,maternal_education_Higher,0.2249417157004281,0.06481145225462337,0.097913603495629,0.3519698279052272,0.0005190854601639719,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,maternal_education_Primary,-0.05949064093457741,0.04736710024822276,-0.15232845147319227,0.03334716960403744,0.2091346240507409,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,maternal_education_Secondary,0.008111921476406173,0.05171022001567345,-0.09323824738695602,0.10946209033976836,0.87534518109411,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,literacy_Able to read only parts of sentence,0.16235159200562593,0.048489336201463104,0.06731423941650402,0.2573889445947478,0.0008134073190917227,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,literacy_Able to read whole sentence,0.14101463500637815,0.04480545434263774,0.05319755818385441,0.22883171182890188,0.0016480556393304203,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,literacy_Blind/visually impaired,0.9870914933692246,0.5155169072367582,-0.023303078236297403,1.9974860649747468,0.055523033672962005,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,literacy_No card with required language,0.3944558041447953,0.256256107537237,-0.10779693744661223,0.8967085457362028,0.12373033329886293,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,wealth_quintile_Middle,0.1658655624490955,0.04985807678081462,0.06814552762026613,0.26358559727792485,0.0008786386423529303,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,wealth_quintile_Poorer,0.05114578653510279,0.03948607425380382,-0.026245496893226992,0.12853706996343256,0.19522134799367208,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,wealth_quintile_Richer,0.28362273131544735,0.05929803731720379,0.1674007138198158,0.3998447488110789,1.7269495389390843e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,wealth_quintile_Richest,0.562563346563665,0.07169966779510757,0.4220345799817678,0.7030921131455623,4.291469528314059e-15,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,residence_Urban,-0.026195419922857045,0.03641644868293334,-0.09757034778625748,0.04517950794054338,0.47193802353367065,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::02,0.013013506966128009,0.1319852288583496,-0.2456727880875138,0.27169980201976984,0.9214572933898956,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::03,-0.12437000035244909,0.10338317566991936,-0.32699730127286863,0.07825730056797044,0.2289761707464505,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::04,0.22144895938738562,0.1117008357820582,0.002519344211528607,0.44037857456324264,0.04742125294763522,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::05,0.79926197837525,0.1441065941784004,0.5168182438508558,1.0817057128996441,2.9173665241945617e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::06,-0.22906394649255793,0.15709407681980259,-0.5369626792439396,0.0788347862588237,0.14480408171635623,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::07,0.2839332753745151,0.11581037703977708,0.056949107340547644,0.5109174434084827,0.014217982480906815,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::08,0.21737293691713305,0.11885248138488051,-0.015573646070449948,0.4503195199047161,0.06741000946569235,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::09,0.14872735836050177,0.13689658023135307,-0.1195850084996482,0.41703972522065175,0.27729264959996003,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::10,0.091990470145583,0.1182820783550334,-0.13983814344682716,0.3238190837379932,0.43673344010847004,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::12,1.1275498972020592,0.14917307670228178,0.8351760394025559,1.4199237550015624,4.072149617564397e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::13,0.20002317934786534,0.12922784975302312,-0.053258751967613316,0.453305110663344,0.12166241780510924,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::14,0.20949337526069006,0.11730102425331224,-0.020412407625461315,0.43939915814684144,0.07410789120674224,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ethiopia::15,0.3335571725495168,0.15079119545179656,0.03801186027825554,0.629102484820778,0.02696343546465089,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::01,0.7469031649788521,0.1159173392640464,0.5197093548376105,0.9740969751200937,1.168170802327448e-10,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::02,0.6470056128434667,0.12993050215197152,0.3923465081323985,0.9016647175545349,6.370648993176861e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::03,0.6216714483543536,0.13442600451125514,0.3582013209266747,0.8851415757820325,3.7525534227091797e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::04,0.5747484829762778,0.13394864960768524,0.3122139539674395,0.837283011985116,1.7802092007956775e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::05,0.7445878619202777,0.10736955723317426,0.5341473967072441,0.9550283271333113,4.067572304350802e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::06,0.7215964452962997,0.12010789560109794,0.48618929565925095,0.9570035949333485,1.879395793179587e-09,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::07,0.8193145996426866,0.12648289894410888,0.5714126730520139,1.0672165262333593,9.314921469284945e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::08,0.7790466208074217,0.1016037588211076,0.579906912824157,0.9781863287906865,1.7538371303829216e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::09,0.6913891887142114,0.14518407740875416,0.40683362586437793,0.9759447515640449,1.9153576155031287e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::10,0.8438366224070292,0.1081087923074268,0.6319472830723518,1.0557259617417065,5.929461044263649e-15,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::11,0.6174549712436893,0.10712094794659453,0.4075017712785742,0.8274081712088044,8.20987515519621e-09,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::12,0.363863260409205,0.1061836755725502,0.15574708054092112,0.5719794402774889,0.0006108861263816167,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::13,0.6347560072108835,0.10802889442129336,0.4230232648554686,0.8464887495662985,4.2081014527769475e-09,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::14,0.5594279451635764,0.11677101286823335,0.33056096550357583,0.788294924823577,1.6610788462607517e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::15,0.5058157680864214,0.11329143402060016,0.2837686376491493,0.7278628985236935,8.016944292461547e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_ghana::16,0.7672674878565564,0.11836588130614016,0.5352746234981789,0.9992603522149339,9.041408494268966e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::01,0.607293992069928,0.12146729679060586,0.3692224650609028,0.8453655190789531,5.743442271294204e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::02,0.6316693250985324,0.13436449680711443,0.368319750555741,0.8950188996413238,2.586846265746612e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::03,0.20845221058468302,0.10607728087308196,0.0005445604955028327,0.4163598606738632,0.049402941771914795,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::04,0.9103241938167976,0.10707251902114703,0.7004659128013696,1.1201824748322258,1.8644725824809977e-17,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::05,0.7590449136381768,0.11523115151424754,0.5331960067731736,0.9848938205031801,4.483483824347108e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::06,0.6635798763667001,0.13134601452625053,0.4061464183823743,0.921013334351026,4.368624946020821e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::07,1.4215068983241927,0.1088158616353092,1.208231728572293,1.6347820680760925,5.32819627576313e-39,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::08,1.5768740242111225,0.1005177516163882,1.379862851236059,1.7738851971861862,1.841153142206586e-55,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::09,1.1202902219638566,0.1090537133571151,0.9065488714035564,1.334031572524157,9.342347159828123e-25,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_C_joint_household_community,joint_common_sample,haz,common_sample,country_admin_region_kenya::10,1.035433461606758,0.11842331025053675,0.8033280385856929,1.267538884627823,2.2601058336493874e-18,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
