outcome,spec,term,beta,se,ci_lower,ci_upper,p_value,N,psu_count
haz,community_only,water_rate_loo,0.03982902813977031,0.05952471814093564,-0.07683727560636155,0.15649533188590217,0.5034205537800213,36040,4426
haz,community_only,sanitation_rate_loo_core,0.0027033442390744407,0.0623803639941375,-0.11955992253193422,0.12496661101008309,0.9654333264832334,36040,4426
haz,household_only,_water_hh_binary,-0.03526467583768686,0.03831605375695124,-0.11036276123101192,0.0398334095556382,0.3573831290379641,36040,4426
haz,household_only,_sani_hh_binary,0.021926731751949535,0.03423273537971722,-0.04516819668458631,0.08902166018848538,0.5218349689510698,36040,4426
haz,joint_household_term,_water_hh_binary,-0.08493288772688233,0.04205736445686124,-0.16736380734700534,-0.002501968106759317,0.04344011591052318,36040,4426
haz,joint_household_term,_sani_hh_binary,0.024184968942193876,0.0364888603449772,-0.047331883170873196,0.09570182105526095,0.5074559800118925,36040,4426
haz,joint_community_term,water_rate_loo,0.120103717122616,0.06537913887659237,-0.008037040415747543,0.24824447466097954,0.06620483988635159,36040,4426
haz,joint_community_term,sanitation_rate_loo_core,-0.018203423867853667,0.06638716373332487,-0.14831987382093406,0.11191302608522671,0.7839301922571363,36040,4426
waz,community_only,water_rate_loo,0.06474283131665723,0.045811292427315055,-0.025045651926112786,0.15453131455942726,0.1575820867210691,36308,4426
waz,community_only,sanitation_rate_loo_core,0.050685145514204596,0.054677213243364824,-0.056480223217806935,0.15785051424621613,0.35393252772346007,36308,4426
waz,household_only,_water_hh_binary,0.021178956622137514,0.030447419318378164,-0.03849688866407277,0.08085480190834779,0.486684885323182,36308,4426
waz,household_only,_sani_hh_binary,0.04507313388989785,0.02812242717662832,-0.0100458105341441,0.10019207831393981,0.1089905372762787,36308,4426
waz,joint_household_term,_water_hh_binary,-0.014739127583794196,0.03540331785128281,-0.08412835550553248,0.05465010033794408,0.6771754814001278,36308,4426
waz,joint_household_term,_sani_hh_binary,0.03918431513372048,0.02997624389392358,-0.019568043290158446,0.09793667355759941,0.19115194154982884,36308,4426
waz,joint_community_term,water_rate_loo,0.08143972798857783,0.052494667338194634,-0.021447929374694752,0.18432738535185042,0.12080813148473808,36308,4426
waz,joint_community_term,sanitation_rate_loo_core,0.021956002413632922,0.05829234381201006,-0.09229489203233308,0.1362068968595989,0.7064312881542989,36308,4426
whz,community_only,water_rate_loo,0.05270571056627486,0.05070339996133483,-0.04667112725167097,0.1520825483842207,0.29857660078509063,36145,4426
whz,community_only,sanitation_rate_loo_core,0.06878392522334065,0.05561923714900508,-0.04022777643630154,0.17779562688298284,0.21620105189746852,36145,4426
whz,household_only,_water_hh_binary,0.05038265105420596,0.03330994441910972,-0.014903640334280058,0.11566894244269198,0.13039633324817887,36145,4426
whz,household_only,_sani_hh_binary,0.04576958792338561,0.029120073696226434,-0.01130470774837037,0.1028438835951416,0.11600764836321262,36145,4426
whz,joint_household_term,_water_hh_binary,0.03938367489762138,0.039420312043793676,-0.03787871696754475,0.11664606676278752,0.3177604909276158,36145,4426
whz,joint_household_term,_sani_hh_binary,0.03583691348802128,0.030785141634059234,-0.024500855373699365,0.09617468234974193,0.24438440855418764,36145,4426
whz,joint_community_term,water_rate_loo,0.019169603703516176,0.06017252762283804,-0.09876638329598794,0.13710559070302028,0.7500470399538423,36145,4426
whz,joint_community_term,sanitation_rate_loo_core,0.04480902156845916,0.05878219538572388,-0.07040196431975619,0.1600200074566745,0.4458875312297381,36145,4426
