model,term,coefficient,se,ci_lower,ci_upper,p_value,N,psu_count,section,step,variant
1.0,sanitation_rate_loo_core,0.27446377545437994,0.09537376686954922,0.08753462732014405,0.46139292358861583,0.004004968824079924,9410,1343.0,M1_M4_reproduction,,
1.0,water_rate_loo,0.6667669198309898,0.11686923915696998,0.4377074201827304,0.8958264194792491,1.1618007886808408e-08,9410,1343.0,M1_M4_reproduction,,
2.0,sanitation_rate_loo_core,0.29560535317084935,0.09055648447290603,0.11811790503739292,0.47309280130430575,0.0010972711767210106,9410,1343.0,M1_M4_reproduction,,
2.0,water_rate_loo,0.6448742401040383,0.10787029858293189,0.4334523398799097,0.8562961403281668,2.2556502734327656e-09,9410,1343.0,M1_M4_reproduction,,
3.0,sanitation_rate_loo_core,-0.45705812645574856,0.08309695341849795,-0.619925162381007,-0.2941910905304901,3.791467981144469e-08,9410,1343.0,M1_M4_reproduction,,
3.0,water_rate_loo,0.1511589949530524,0.084753328870428,-0.014954477202865246,0.31727246710897006,0.07450219832525423,9410,1343.0,M1_M4_reproduction,,
4.0,sanitation_rate_loo_core,-0.18383003103784987,0.08711854859687425,-0.35457924867312585,-0.013080813402573888,0.03484857526274489,9410,1343.0,M1_M4_reproduction,,
4.0,water_rate_loo,0.1344953230101758,0.09034818361534726,-0.04258386294451663,0.31157450896486827,0.136583933606002,9410,1343.0,M1_M4_reproduction,,
,water_rate_loo,0.6448742401040383,0.10787029858293189,0.4334523398799097,0.8562961403281668,2.2556502734327656e-09,9410,,sequential_block_addition,M2_base(exposures+child_controls),
,sanitation_rate_loo_core,0.29560535317084935,0.09055648447290603,0.11811790503739292,0.47309280130430575,0.0010972711767210106,9410,,sequential_block_addition,M2_base(exposures+child_controls),
,water_rate_loo,0.5690257630333834,0.09891742176045738,0.37515117893932826,0.7629003471274385,8.791594141599563e-09,9410,,sequential_block_addition,+A_maternal_age,
,sanitation_rate_loo_core,0.1829904934237276,0.08210571358761086,0.022066251867049386,0.3439147349804058,0.02583266439476354,9410,,sequential_block_addition,+A_maternal_age,
,water_rate_loo,0.2820952490508618,0.09054757239021778,0.10462526827850158,0.459565229823222,0.0018367263530344744,9410,,sequential_block_addition,+B_maternal_education,
,sanitation_rate_loo_core,-0.02989834559679894,0.0734932601937447,-0.17394248868296974,0.11414579748937187,0.6841420204711669,9410,,sequential_block_addition,+B_maternal_education,
,water_rate_loo,0.2808985423629421,0.09077712513745792,0.10297864647343896,0.4588184382524452,0.0019722746950817903,9410,,sequential_block_addition,+C_literacy,
,sanitation_rate_loo_core,-0.05701701124793314,0.07489472045134167,-0.20380796596475825,0.08977394346889196,0.4464806069611049,9410,,sequential_block_addition,+C_literacy,
,water_rate_loo,0.17389920973616702,0.08775672374289442,0.001899191798862887,0.34589922767347114,0.047523406911704195,9410,,sequential_block_addition,+D_wealth_quintile,
,sanitation_rate_loo_core,-0.3885030264414683,0.08076564750739139,-0.5468007867440126,-0.23020526613892398,1.5074097782334455e-06,9410,,sequential_block_addition,+D_wealth_quintile,
,water_rate_loo,0.1712274499123455,0.08668845785419667,0.0013211946428016708,0.34113370518188935,0.04824492208787474,9410,,sequential_block_addition,+E_household_size,
,sanitation_rate_loo_core,-0.39028770517596756,0.08045299380239053,-0.5479726754770772,-0.23260273487485794,1.2276179063710638e-06,9410,,sequential_block_addition,+E_household_size,
,water_rate_loo,0.1511589949530524,0.084753328870428,-0.014954477202865246,0.31727246710897006,0.07450219832525423,9410,,sequential_block_addition,+F_residence,
,sanitation_rate_loo_core,-0.45705812645574856,0.08309695341849795,-0.619925162381007,-0.2941910905304901,3.791467981144469e-08,9410,,sequential_block_addition,+F_residence,
,water_rate_loo,0.1511589949530524,0.084753328870428,-0.014954477202865246,0.31727246710897006,0.07450219832525423,9410,,leave_one_block_out,,full_M3
,sanitation_rate_loo_core,-0.45705812645574856,0.08309695341849795,-0.619925162381007,-0.2941910905304901,3.791467981144469e-08,9410,,leave_one_block_out,,full_M3
,water_rate_loo,0.14112236372602135,0.08658345695058968,-0.02857809355410862,0.31082282100615133,0.10312266481555962,9410,,leave_one_block_out,,M3_minus_A_maternal_age
,sanitation_rate_loo_core,-0.4855774085554486,0.08462918222178556,-0.6514475577512258,-0.3197072593596715,9.596723716646874e-09,9410,,leave_one_block_out,,M3_minus_A_maternal_age
,water_rate_loo,0.17686684668026184,0.08492475125460221,0.010417392825218752,0.34331630053530493,0.03728494963166151,9410,,leave_one_block_out,,M3_minus_B_maternal_education
,sanitation_rate_loo_core,-0.5009199330682281,0.08450166598760751,-0.6665401550375721,-0.3352997110988841,3.067778250201118e-09,9410,,leave_one_block_out,,M3_minus_B_maternal_education
,water_rate_loo,0.14862399448859095,0.08457384688944408,-0.017137699448724314,0.3143856884259062,0.07886190721296256,9410,,leave_one_block_out,,M3_minus_C_literacy
,sanitation_rate_loo_core,-0.44421224423714323,0.08275775725430834,-0.6064144678968959,-0.2820100205773905,7.978215128302334e-08,9410,,leave_one_block_out,,M3_minus_C_literacy
,water_rate_loo,0.2363335070395876,0.08627904865107924,0.06722967906309316,0.40543733501608203,0.006159337431194629,9410,,leave_one_block_out,,M3_minus_D_wealth_quintile
,sanitation_rate_loo_core,-0.19634156726228957,0.08153281095874607,-0.35614294029974447,-0.03654019422483465,0.016034492222917553,9410,,leave_one_block_out,,M3_minus_D_wealth_quintile
,water_rate_loo,0.1531580975591719,0.08565245980599072,-0.014717638847834502,0.3210338339661783,0.0737543499104368,9410,,leave_one_block_out,,M3_minus_E_household_size
,sanitation_rate_loo_core,-0.4568974953075268,0.08323549629444166,-0.6200360702799496,-0.2937589203351041,4.037250462043938e-08,9410,,leave_one_block_out,,M3_minus_E_household_size
,water_rate_loo,0.1712274499123455,0.08668845785419667,0.0013211946428016708,0.34113370518188935,0.04824492208787474,9410,,leave_one_block_out,,M3_minus_F_residence
,sanitation_rate_loo_core,-0.39028770517596756,0.08045299380239053,-0.5479726754770772,-0.23260273487485794,1.2276179063710638e-06,9410,,leave_one_block_out,,M3_minus_F_residence
