outcome,model,country_scope,n_start,n_excluded_outcome_missing,n_excluded_exposure_missing,n_excluded_control_missing,final_estimation_n,unique_psu_count,fe_region_count,weight_method,clustering_method
haz,1,pooled,70231,33246,0,0,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
haz,1,ethiopia,13565,7722,0,0,5843,787,0,weight_original,cluster_robust_psu
haz,1,ghana,9353,4948,0,0,4405,616,0,weight_original,cluster_robust_psu
haz,1,kenya,19530,2203,0,0,17327,1688,0,weight_original,cluster_robust_psu
haz,1,nigeria,27783,18373,0,0,9410,1343,0,weight_original,cluster_robust_psu
haz,2,pooled,70231,33246,0,0,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
haz,2,ethiopia,13565,7722,0,0,5843,787,0,weight_original,cluster_robust_psu
haz,2,ghana,9353,4948,0,0,4405,616,0,weight_original,cluster_robust_psu
haz,2,kenya,19530,2203,0,0,17327,1688,0,weight_original,cluster_robust_psu
haz,2,nigeria,27783,18373,0,0,9410,1343,0,weight_original,cluster_robust_psu
haz,3,pooled,70231,33246,0,0,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
haz,3,ethiopia,13565,7722,0,0,5843,787,0,weight_original,cluster_robust_psu
haz,3,ghana,9353,4948,0,0,4405,616,0,weight_original,cluster_robust_psu
haz,3,kenya,19530,2203,0,0,17327,1688,0,weight_original,cluster_robust_psu
haz,3,nigeria,27783,18373,0,0,9410,1343,0,weight_original,cluster_robust_psu
haz,4,pooled,70231,33246,0,0,36985,4434,114,model_specific_equal_total_country_weight,cluster_robust_country_psu
haz,4,ethiopia,13565,7722,0,0,5843,787,14,weight_original,cluster_robust_psu
haz,4,ghana,9353,4948,0,0,4405,616,16,weight_original,cluster_robust_psu
haz,4,kenya,19530,2203,0,0,17327,1688,47,weight_original,cluster_robust_psu
haz,4,nigeria,27783,18373,0,0,9410,1343,37,weight_original,cluster_robust_psu
waz,1,pooled,70231,32971,0,0,37260,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
waz,1,ethiopia,13565,7610,0,0,5955,787,0,weight_original,cluster_robust_psu
waz,1,ghana,9353,4942,0,0,4411,616,0,weight_original,cluster_robust_psu
waz,1,kenya,19530,2149,0,0,17381,1688,0,weight_original,cluster_robust_psu
waz,1,nigeria,27783,18270,0,0,9513,1343,0,weight_original,cluster_robust_psu
waz,2,pooled,70231,32971,0,0,37260,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
waz,2,ethiopia,13565,7610,0,0,5955,787,0,weight_original,cluster_robust_psu
waz,2,ghana,9353,4942,0,0,4411,616,0,weight_original,cluster_robust_psu
waz,2,kenya,19530,2149,0,0,17381,1688,0,weight_original,cluster_robust_psu
waz,2,nigeria,27783,18270,0,0,9513,1343,0,weight_original,cluster_robust_psu
waz,3,pooled,70231,32971,0,0,37260,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
waz,3,ethiopia,13565,7610,0,0,5955,787,0,weight_original,cluster_robust_psu
waz,3,ghana,9353,4942,0,0,4411,616,0,weight_original,cluster_robust_psu
waz,3,kenya,19530,2149,0,0,17381,1688,0,weight_original,cluster_robust_psu
waz,3,nigeria,27783,18270,0,0,9513,1343,0,weight_original,cluster_robust_psu
waz,4,pooled,70231,32971,0,0,37260,4434,114,model_specific_equal_total_country_weight,cluster_robust_country_psu
waz,4,ethiopia,13565,7610,0,0,5955,787,14,weight_original,cluster_robust_psu
waz,4,ghana,9353,4942,0,0,4411,616,16,weight_original,cluster_robust_psu
waz,4,kenya,19530,2149,0,0,17381,1688,47,weight_original,cluster_robust_psu
waz,4,nigeria,27783,18270,0,0,9513,1343,37,weight_original,cluster_robust_psu
whz,1,pooled,70231,33143,0,0,37088,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
whz,1,ethiopia,13565,7681,0,0,5884,787,0,weight_original,cluster_robust_psu
whz,1,ghana,9353,4945,0,0,4408,616,0,weight_original,cluster_robust_psu
whz,1,kenya,19530,2198,0,0,17332,1688,0,weight_original,cluster_robust_psu
whz,1,nigeria,27783,18319,0,0,9464,1343,0,weight_original,cluster_robust_psu
whz,2,pooled,70231,33143,0,0,37088,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
whz,2,ethiopia,13565,7681,0,0,5884,787,0,weight_original,cluster_robust_psu
whz,2,ghana,9353,4945,0,0,4408,616,0,weight_original,cluster_robust_psu
whz,2,kenya,19530,2198,0,0,17332,1688,0,weight_original,cluster_robust_psu
whz,2,nigeria,27783,18319,0,0,9464,1343,0,weight_original,cluster_robust_psu
whz,3,pooled,70231,33143,0,0,37088,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu
whz,3,ethiopia,13565,7681,0,0,5884,787,0,weight_original,cluster_robust_psu
whz,3,ghana,9353,4945,0,0,4408,616,0,weight_original,cluster_robust_psu
whz,3,kenya,19530,2198,0,0,17332,1688,0,weight_original,cluster_robust_psu
whz,3,nigeria,27783,18319,0,0,9464,1343,0,weight_original,cluster_robust_psu
whz,4,pooled,70231,33143,0,0,37088,4434,114,model_specific_equal_total_country_weight,cluster_robust_country_psu
whz,4,ethiopia,13565,7681,0,0,5884,787,14,weight_original,cluster_robust_psu
whz,4,ghana,9353,4945,0,0,4408,616,16,weight_original,cluster_robust_psu
whz,4,kenya,19530,2198,0,0,17332,1688,47,weight_original,cluster_robust_psu
whz,4,nigeria,27783,18319,0,0,9464,1343,37,weight_original,cluster_robust_psu
