robustness_family,outcome,country_scope,final_estimation_n,psu_count,fe_region_count,outcome_prevalence,weight_method,clustering_method
binary_lpm,stunted,pooled,36985,4434,114,0.2587265107476004,model_specific_equal_total_country_weight,cluster_robust_country_psu
binary_lpm,stunted,ethiopia,5843,787,14,0.3772034913571795,weight_original,cluster_robust_psu
binary_lpm,stunted,ghana,4405,616,16,0.18206583427922815,weight_original,cluster_robust_psu
binary_lpm,stunted,kenya,17327,1688,47,0.1801812200611762,weight_original,cluster_robust_psu
binary_lpm,stunted,nigeria,9410,1343,37,0.3656748140276302,weight_original,cluster_robust_psu
binary_lpm,wasted,pooled,37088,4434,114,0.07207182916307162,model_specific_equal_total_country_weight,cluster_robust_country_psu
binary_lpm,wasted,ethiopia,5884,787,14,0.06458191706322229,weight_original,cluster_robust_psu
binary_lpm,wasted,ghana,4408,616,16,0.058756805807622506,weight_original,cluster_robust_psu
binary_lpm,wasted,kenya,17332,1688,47,0.0719478421417032,weight_original,cluster_robust_psu
binary_lpm,wasted,nigeria,9464,1343,37,0.08315722738799662,weight_original,cluster_robust_psu
binary_lpm,underweight,pooled,37260,4434,114,0.17219538378958668,model_specific_equal_total_country_weight,cluster_robust_country_psu
binary_lpm,underweight,ethiopia,5955,787,14,0.2105793450881612,weight_original,cluster_robust_psu
binary_lpm,underweight,ghana,4411,616,16,0.1303559283609159,weight_original,cluster_robust_psu
binary_lpm,underweight,kenya,17381,1688,47,0.1259421207065186,weight_original,cluster_robust_psu
binary_lpm,underweight,nigeria,9513,1343,37,0.2520761063807421,weight_original,cluster_robust_psu
severe_outcomes_secondary,severe_stunted,pooled,36985,4434,114,0.09349736379613356,model_specific_equal_total_country_weight,cluster_robust_country_psu
severe_outcomes_secondary,severe_wasted,pooled,37088,4434,114,0.012753451251078516,model_specific_equal_total_country_weight,cluster_robust_country_psu
severe_outcomes_secondary,severe_underweight,pooled,37260,4434,114,0.042914653784219,model_specific_equal_total_country_weight,cluster_robust_country_psu
ghana_biodigester,haz,pooled,36985,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
ghana_biodigester,haz,ghana,4405,616,16,,weight_original,cluster_robust_psu
ghana_biodigester,waz,pooled,37260,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
ghana_biodigester,waz,ghana,4411,616,16,,weight_original,cluster_robust_psu
ghana_biodigester,whz,pooled,37088,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
ghana_biodigester,whz,ghana,4408,616,16,,weight_original,cluster_robust_psu
household_wash_baseline,haz,pooled,36040,4426,0,,model_specific_equal_total_country_weight,cluster_robust_country_psu
household_wash_baseline,waz,pooled,36308,4426,0,,model_specific_equal_total_country_weight,cluster_robust_country_psu
household_wash_baseline,whz,pooled,36145,4426,0,,model_specific_equal_total_country_weight,cluster_robust_country_psu
alternative_pooled_weighting,haz,pooled_A_equal_total_country,36985,4434,114,,A_equal_total_country,cluster_robust_country_psu
alternative_pooled_weighting,haz,pooled_B_raw_weight_original,36985,4434,114,,B_raw_weight_original,cluster_robust_country_psu
alternative_pooled_weighting,haz,pooled_C_unweighted,36985,4434,114,,C_unweighted,cluster_robust_country_psu
alternative_pooled_weighting,waz,pooled_A_equal_total_country,37260,4434,114,,A_equal_total_country,cluster_robust_country_psu
alternative_pooled_weighting,waz,pooled_B_raw_weight_original,37260,4434,114,,B_raw_weight_original,cluster_robust_country_psu
alternative_pooled_weighting,waz,pooled_C_unweighted,37260,4434,114,,C_unweighted,cluster_robust_country_psu
alternative_pooled_weighting,whz,pooled_A_equal_total_country,37088,4434,114,,A_equal_total_country,cluster_robust_country_psu
alternative_pooled_weighting,whz,pooled_B_raw_weight_original,37088,4434,114,,B_raw_weight_original,cluster_robust_country_psu
alternative_pooled_weighting,whz,pooled_C_unweighted,37088,4434,114,,C_unweighted,cluster_robust_country_psu
loo_denominator_sensitivity,haz,pooled_unrestricted,36985,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,haz,pooled_min5,36957,4431,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,haz,pooled_min10,36794,4410,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,waz,pooled_unrestricted,37260,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,waz,pooled_min5,37232,4431,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,waz,pooled_min10,37068,4410,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,whz,pooled_unrestricted,37088,4434,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,whz,pooled_min5,37060,4431,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
loo_denominator_sensitivity,whz,pooled_min10,36898,4410,114,,model_specific_equal_total_country_weight,cluster_robust_country_psu
