Country,Variable,Category,Unweighted N,Weighted %,Weighted Mean,Weighted SD
Ethiopia,Child sex,Female,6522,47.5,,
Ethiopia,Child sex,Male,7043,52.5,,
Ethiopia,Maternal education,Higher,1129,8.2,,
Ethiopia,Maternal education,No education,6132,42.6,,
Ethiopia,Maternal education,Primary,4618,36.5,,
Ethiopia,Maternal education,Secondary,1686,12.8,,
Ethiopia,Literacy,Able to read only parts of sentence,2086,16.7,,
Ethiopia,Literacy,Able to read whole sentence,3219,30.1,,
Ethiopia,Literacy,Blind/visually impaired,26,0.5,,
Ethiopia,Literacy,Cannot read at all,7985,52.1,,
Ethiopia,Literacy,No card with required language,249,0.7,,
Ethiopia,Wealth quintile,Middle,1859,18.3,,
Ethiopia,Wealth quintile,Poorer,2492,19.2,,
Ethiopia,Wealth quintile,Poorest,5066,23.7,,
Ethiopia,Wealth quintile,Richer,1772,19.8,,
Ethiopia,Wealth quintile,Richest,2376,19.0,,
Ethiopia,Residence,Rural,9749,71.8,,
Ethiopia,Residence,Urban,3816,28.2,,
Ethiopia,Maternal age,,13565,,30.05,6.55
Ghana,Child sex,Female,4549,48.9,,
Ghana,Child sex,Male,4804,51.1,,
Ghana,Maternal education,Higher,703,9.4,,
Ghana,Maternal education,No education,2917,23.2,,
Ghana,Maternal education,Primary,1496,15.2,,
Ghana,Maternal education,Secondary,4237,52.2,,
Ghana,Literacy,Able to read only parts of sentence,1119,12.9,,
Ghana,Literacy,Able to read whole sentence,2902,37.8,,
Ghana,Literacy,Blind/visually impaired,4,0.0,,
Ghana,Literacy,Cannot read at all,5283,48.8,,
Ghana,Literacy,No card with required language,45,0.5,,
Ghana,Wealth quintile,Middle,1681,19.5,,
Ghana,Wealth quintile,Poorer,2252,20.4,,
Ghana,Wealth quintile,Poorest,3056,23.7,,
Ghana,Wealth quintile,Richer,1338,19.0,,
Ghana,Wealth quintile,Richest,1026,17.4,,
Ghana,Residence,Rural,5496,51.4,,
Ghana,Residence,Urban,3857,48.6,,
Ghana,Maternal age,,9353,,30.73,6.9
Kenya,Child sex,Female,9580,49.0,,
Kenya,Child sex,Male,9950,51.0,,
Kenya,Maternal education,Higher,2628,17.9,,
Kenya,Maternal education,No education,4464,10.3,,
Kenya,Maternal education,Primary,6896,37.9,,
Kenya,Maternal education,Secondary,5542,33.9,,
Kenya,Literacy,Able to read only parts of sentence,2052,9.4,,
Kenya,Literacy,Able to read whole sentence,12189,76.1,,
Kenya,Literacy,Blind/visually impaired,7,0.1,,
Kenya,Literacy,Cannot read at all,5277,14.4,,
Kenya,Literacy,No card with required language,5,0.0,,
Kenya,Wealth quintile,Middle,3379,17.6,,
Kenya,Wealth quintile,Poorer,3330,18.0,,
Kenya,Wealth quintile,Poorest,6432,22.4,,
Kenya,Wealth quintile,Richer,3664,20.3,,
Kenya,Wealth quintile,Richest,2725,21.8,,
Kenya,Residence,Rural,12844,62.6,,
Kenya,Residence,Urban,6686,37.4,,
Kenya,Maternal age,,19530,,29.0,6.5
Nigeria,Child sex,Female,13729,49.3,,
Nigeria,Child sex,Male,14054,50.7,,
Nigeria,Maternal education,Higher,3019,9.9,,
Nigeria,Maternal education,No education,12245,47.0,,
Nigeria,Maternal education,Primary,3214,11.9,,
Nigeria,Maternal education,Secondary,9305,31.2,,
Nigeria,Literacy,Able to read only parts of sentence,4309,15.0,,
Nigeria,Literacy,Able to read whole sentence,8316,29.3,,
Nigeria,Literacy,Blind/visually impaired,12,0.0,,
Nigeria,Literacy,Cannot read at all,15135,55.6,,
Nigeria,Literacy,No card with required language,11,0.0,,
Nigeria,Wealth quintile,Middle,5381,20.2,,
Nigeria,Wealth quintile,Poorer,5623,22.7,,
Nigeria,Wealth quintile,Poorest,7249,24.4,,
Nigeria,Wealth quintile,Richer,5129,17.6,,
Nigeria,Wealth quintile,Richest,4401,15.1,,
Nigeria,Residence,Rural,17076,61.6,,
Nigeria,Residence,Urban,10707,38.4,,
Nigeria,Maternal age,,27783,,29.99,6.88
