source_id,source,country_data,outcome,wash_exposure,household_vs_community,own_inclusive_vs_leave_one_out,geographic_fe,survey_weighting,method,similarity_to_our_thesis,important_difference,how_we_may_legitimately_use_this_source
S04,"Blom, Ortiz-Bobea & Hoddinott (2022), JEEM",Benin/Burkina Faso/Cote d'Ivoire/Ghana/Togo; 15 DHS rounds 1993-2014,HAZ/stunting (primary+binary robustness); WHZ/wasting/severe wasting,"Household water source, improved latrine - used only as CONTROLS, not the exposure of interest (heat exposure is)",Household-level (as controls),N/A (not a cluster WASH exposure study),"Grid-cell x month x year (chronic outcomes); admin-region x month/year (acute outcomes, explicit fallback since DHS clusters not repeated)",Not stated as DHS-weighted,"OLS, high-dimensional FE, spatial-HAC (Conley) SEs",Same continuous-primary/binary-robustness outcome tiering; same DHS+geo-cluster framework; admin-region FE used for exactly the same reason (non-repeated DHS clusters) as our thesis,"Exposure of interest is temperature, not WASH; WASH vars are simple household controls, not cluster-level LOO","Cite as independent precedent for our outcome-tiering structure (continuous primary, binary robustness) and for our choice of admin-region FE over a spatial grid when DHS clusters are not repeated - NOT as evidence for our WASH exposure construction"
S05,"Gebru et al. (2019), BMC Pediatrics (Ethiopia, 2016 EDHS)",Ethiopia; 2016 EDHS,Stunting (binary only),Community-level aggregated water source/toilet type (simple improved/unimproved),Community/cluster-level (aggregated from individual data),Own-inclusive (no exclusion language found; standard aggregation),Region (admin) as fixed categorical covariate + random community intercept,Applied for descriptive stage; not established whether applied to the multilevel regression itself,Two-level multilevel mixed-effects logistic regression,"Ethiopia-specific, single-round DHS, region-as-covariate precedent, explicit cross-sectional/non-causal framing matching our own","Binary stunting only (no continuous HAZ); water/toilet is simple aggregated binary, NOT continuous LOO rate; multilevel random effects instead of PSU-clustered sandwich SEs","Cite for Ethiopia-specific context and for the precedent of region-as-covariate in DHS multilevel models; cite its null water-source finding as a country-specific data point worth comparing against our own Ethiopia-specific results, with the caveat that its exposure measure is much cruder than ours"
S09,"Local Burden of Disease WaSH Collaborators (2020), Lancet Global Health","88-89 LMICs; DHS/MICS/other surveys pooled, JMP definitions","WASH access coverage (mapped), not a health/nutrition outcome",JMP-defined improved water/sanitation access as the modeled OUTCOME (not exposure) of a spatial surface,"N/A - spatial-grid geostatistical surface, not household or cluster regression",N/A,"Spatial random field (Bayesian/INLA), not FE in the panel-regression sense",Not established from source,Bayesian geostatistical modeling (INLA/SPDE),Uses the same JMP improved/unimproved definitional basis as our exposure variables,Entirely different exposure-modeling philosophy (continuous geostatistical surface vs cluster-level regression exposure); this is the SPATIAL-GRID alternative our design considered and did not adopt,Cite explicitly as the road-not-taken spatial-grid/geostatistical alternative in our Discussion/Limitations section - do NOT cite as validating our region-FE design
S11,"Rakotomanana et al. (2020), IJERPH (East Africa incl. Kenya)",Kenya (2015 KDHS) among 8 East African countries,LAZ (continuous),Household-level JMP water/sanitation/hygiene service-ladder categories,Household-level,"N/A (household-level, not aggregated)",Not applicable - country-specific separate regressions; no pooled model or admin-region FE used (p.4),"Descriptive statistics explicitly weighted, accounting for survey clustering (Section 2.5, p.4); not stated whether the linear regression models themselves apply survey weights",Country-specific/stratified multivariable linear regression,Same continuous anthropometric outcome type (LAZ~HAZ); Kenya-specific; DHS-based,"Household-level JMP-ladder exposure, not cluster-level or leave-one-out; exact Kenya coefficient (beta=0.13, R2=0.20) is confirmed and no longer an open discrepancy",Cite as the best available Kenya-specific DHS anthropometric-WASH precedent for country context; re-verify the specific Kenya coefficient before quoting an exact number in thesis prose
S12,"Skoufias & Vinha (2026), PLOS One (20 SSA countries incl. Ghana/Nigeria)",20 SSA countries incl. Ghana and Nigeria; harmonized DHS via IPUMS-DHS,HAZ (continuous); also fever/diarrhea,Fraction of households in cluster with improved water / improved toilet,Community/cluster-level,"CONFIRMED own-inclusive - paper explicitly discusses 'non-self means' (leave-one-out) as an alternative it did NOT adopt, calling the choice 'an empirical question'","Not applicable - no country/admin-region FE; model uses CRE/Mundlak hybrid decomposition with survey year and month dummies instead (eqs.4-8, pp.6-7)","Not reported - no mention of DHS/IPUMS sampling weights anywhere in the article; only intra-cluster-correlation-corrected SEs are used (Table 3 note, p.9)",Correlated-random-effects/Mundlak hybrid decomposition of within- vs between-cluster effects,"Closest empirical analogue: same outcome (HAZ), same exposure concept (cluster-level WASH coverage), overlapping countries (Ghana+Nigeria), same data source (DHS)","Own-inclusive cluster mean, explicitly NOT leave-one-out - the single most important methodological difference from our design","Cite as Type B precedent (community exposure, not leave-one-out) for our cluster-level WASH-HAZ relationship - explicitly note it does NOT validate our leave-one-out construction, and that the paper itself flags the self-vs-non-self-mean choice as unresolved"
S13,"Addae et al. (2024), PLOS ONE (Ghana MICS)",Ghana; MICS 2017/18 (NOT DHS),"Stunting, wasting (binary)",Household-level binary protected/unprotected water; improved/unimproved/open-defecation toilet,Household-level,N/A (household-level),"Not stated (adjusts for survey clustering/stratification, not admin-region FE)",Complex-sample design weighting (clustering/stratification adjusted),Complex-sample logistic regression,"Same binary robustness-tier outcomes (stunting, wasting); Ghana-specific; nationally representative UNICEF-designed survey comparable in structure to DHS",MICS not DHS (different survey program - must not be conflated or pooled); household-level exposure not cluster-level/LOO; logistic ORs not linear coefficients,"Cite as the best available Ghana-specific WASH-anthropometric evidence, explicitly labeled as MICS-based, not DHS-based - directional comparison only against our Ghana-specific results, never pooled or treated as interchangeable with DHS"
S15,"Johnson, Jacob & Brown (2013), GHSP (Malawi forest cover)",Malawi; 2010 DHS + MODIS satellite,"Severe stunting, dietary diversity, vitamin-A consumption, diarrhea",Household toilet/water access - used only as CONTROLS in the diarrhea model; primary exposure is satellite-derived forest cover,"Household-level (for WASH controls); DHS-cluster-GPS-linked satellite exposure (for forest cover, the actual exposure of interest)",N/A (not a WASH cluster-exposure study),None,Explicitly UNWEIGHTED,Unweighted multivariate binomial logistic regression,"Direct precedent for DHS-cluster-GPS-linked geospatial exposure construction (though environmental, not WASH); explicit associational (not causal) framing","Exposure is forest cover, not WASH; unweighted, no PSU clustering described",Cite as a DHS+geospatial-linkage methodological precedent and as an example of explicit non-causal framing discipline - not as WASH-nutrition evidence per se
S16,"Balk et al. (2004), Population Space and Place (West Africa, 10 countries, excl. Nigeria)","Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Ghana, Guinea, Mali, Niger, Senegal, Togo; DHS 1997-2001 (Nigeria explicitly EXCLUDED)","1q0 (infant mortality), 4q1 (child mortality) - not anthropometric",Household-level water source/toilet type - used as controls alongside geospatial covariates,Household-level (for WASH controls),N/A,"Country FE (not sub-national admin-region FE) + continuous geospatial covariates (population density, distance to coast, farming system, rainfall)","Population-share-rescaled 'expansion weight,' renormalized to average 1 across pooled sample","GLM binomial, log link; 5 nested models","Landmark multi-country DHS+GIS pooling precedent with population-based re-weighting, broadly analogous in spirit to our pooled equal-total-country weighting","Country FE not admin-region FE; explicitly does NOT cluster SEs at household/PSU level (self-stated limitation, weaker than our PSU-clustered approach); mortality not anthropometric; excludes Nigeria",Cite as a landmark precedent for multi-country DHS pooling with population-weighted re-scaling and for household WASH variables as mortality/health covariates - explicitly note it lacks PSU clustering (a limitation our design improves on) and excludes one of our four countries
S18,Geruso & Spears (2015/2017 NBER WP 21184; published 2018 AEJ:Applied Econ.),"India; NFHS 1992/93, 1998/99, 2005/06","Infant mortality rate, neonatal mortality rate - NOT anthropometric",Neighbor (PSU-level) open-defecation rate,"Community/cluster (PSU)-level, entered JOINTLY with the household's own status","CONFIRMED TRUE LEAVE-ONE-OUT (Type A) - exact quote (p.11): 'leave-out mean, taken over all households in PSU j other than the respondent household'","No PSU or admin-region FE in the main leave-one-out open-defecation/mortality IV specification (eqs.2-3, Table 9); only survey-round FE plus extended controls (footnote 46, p.28)",Not reported in the pages read (pp.1-40 of 75) - no mention of NFHS sampling/survey weights found; standard errors are clustered by PSU (p.8) but weighting is not discussed,"PSU-level regression, own + leave-out neighbor rate entered jointly",THE only confirmed leave-one-out precedent found in the entire literature search - directly validates the leave-one-out TECHNIQUE our exposure variable uses,"Outcome is infant mortality, not anthropometric; country is India, not SSA; project copy is the NBER working-paper version, not the final 2018 published article","Cite as our PRIMARY methodological precedent and justification for leave-one-out cluster exposure construction, explicitly noting the domain difference (mortality/India vs anthropometry/SSA) and the working-paper-vs-published-version distinction"
S19,"Headey & Palloni (2019), Demography (59 countries, subnational panel)","59 countries, 442 subnational regions, 218 DHS rounds","Under-5 mortality, diarrhea, stunting, wasting, fever",Subnational region-level water/sanitation coverage (panel),Community/cluster-level (region-level aggregate),Own-inclusive (region-level aggregate; not leave-one-out),"Subnational administrative-region FE, justified on DHS-representativeness grounds (finest unit with valid repeated-round comparison); does not evaluate grid-cell FE as a competing choice within its own models","Survey weights used to construct the two DHS-microdata subnational panels (robustness checks); the main STATcompiler panel uses pre-aggregated subnational indicators, not individually weighted (p.732)",Subnational administrative-region panel (DID-style) regression,"Independent, recent precedent for administrative-region-level FE with DHS data across many countries, on similar representativeness grounds to our own choice",Genuine multi-round PANEL (repeated DHS rounds per region) - our design is cross-sectional (single round per country); do not cite as validating a cross-sectional design,"Cite as independent support for administrative-region FE (not spatial grid) as the geographic-control choice in DHS-based WASH-health research, while being clear our design is cross-sectional not panel"
